snippet,headline__main,year_mo,compound,negative,neutral,positive
"In pulling off a strong showing in Iowa, Rick Santorum benefited from his own persistence, a faltering field of former front-runners and a savvy strategy.","Out of Santorum’s Lean Operation, a Muscular Result",201201,0.5106,0,0.864,0.136
"A mother of two bought the rights to Frozen Dead Guy Days, a festival in Nederland, Colo., inspired by a corpse that has been kept on ice for going on 20 years.",Town Breathes Easier as Frozen Dead Guy and His Festival Stay Put,201201,-0.3818,0.203,0.635,0.162
"The owner of Julius’ in the West Village, one of the longest-running gay bars in the city, hoped to reopen soon after being closed by the health department.",New Wrinkle for a Fixture of Gay Life,201201,0.3818,0,0.912,0.088
"Though the state has suspended $60 million from the federal government to pay for programs already under way at troubled schools, those schools have been told to forge ahead.","Grants in Limbo, the City Tells Principals to Hold On",201201,-0.7579,0.224,0.776,0
"Mr. Searle’s witty illustrations for books, magazine covers, newspaper editorial pages and advertisements helped define postwar graphic humor.","Ronald Searle, Slyly Caustic Cartoonist, Dies at 91",201201,0.2732,0,0.89,0.11
"A judge refused to prohibit the near-daily picketing outside St. David’s School on the East Side, a solo demonstration by an alumnus and former teacher.",School Loses Bid to Halt Man’s Protest,201201,-0.2023,0.089,0.854,0.057
"Maria Valdes Flores keeps her boys focused on good grades despite their tumultuous childhoods, wanting them to have opportunities she did not.",Sacrificing to Nurture Her Sons’ Academic Aspirations,201201,0.7964,0,0.701,0.299
"Lottery numbers for New York, New Jersey and Connecticut.",Lottery Numbers,201201,0,0,1,0
"Coach Steve Lavin, still recovering from cancer surgery, is in no position to help his struggling program in its loss to Louisville.","Adrift in Coach’s Absence, St. John’s Founders Again",201201,-0.8402,0.373,0.541,0.086
"United Parcel Service and FedEx, the two major package delivery companies, have benefited as free shipping and returns have become more common among online retailers.",Online Sales Buoy U.P.S. And FedEx,201201,0.7269,0,0.79,0.21
A look at the schedule of primaries and caucuses through Feb. 4.,The Month Ahead,201201,0,0,1,0
United States prosecutors charged three Swiss bankers on Tuesday of conspiring with wealthy American taxpayers to hide more than $1.2 billion in assets from tax authorities.,U.S. Charges 3 Swiss Bankers,201201,0.5423,0.111,0.667,0.222
"Amanda Cummings, 15, who died six days after a witness saw her jump in front of a bus, had been harassed at her Staten Island high school, her uncle said.",Accusations of Bullying After Death of Teenager,201201,-0.7964,0.215,0.785,0
"Frans Nielsen scored the deciding goal in a shootout, and the Islanders earned their third straight win by beating the host Carolina Hurricanes in a matchup of the Eastern Conference’s bottom two teams.",Islanders Prevail in Shootout for Third Win in a Row,201201,0.4019,0.082,0.763,0.155
A New York judge lowered the burden of proof on the bond insurer to show that Countrywide Financial had committed fraud in inducing MBIA to insure mortgage-backed securities.,Setback for Bank of America in a Lawsuit Filed by MBIA,201201,-0.5994,0.238,0.638,0.125
The Pirates ended 11 years of frustration at the hands of the Huskies in Coach Kevin Willard’s biggest win since taking over the program.,Seton Hall Stuns Connecticut,201201,0.1779,0.107,0.761,0.131
The Rams’ nonconference victory ended a 54-game losing streak against ranked opponents.,No. 22 Harvard Visits Fordham and Leaves With a Loss,201201,-0.3818,0.206,0.794,0
A new evaluation system can help improve a crucial program for children from poor families.,Raising Standards for Head Start,201201,0.3612,0.166,0.535,0.299
"The Chicago Bears won four division titles and reached the Super Bowl while Jerry Angelo was the general manager. They also crumbled this season, and now Angelo is out.",Smith Survives Housecleaning by the Bears,201201,0.8402,0,0.743,0.257
Gov. Jerry Brown of California should commute the life sentence Shirley Ree Smith received for a crime she likely did not commit.,‘A Very Likely Miscarriage of Justice’,201201,-0.6234,0.218,0.729,0.053
"Mr. Schmidt is the president and chief operating officer of Coldwell Banker Commercial, which has about 200 affiliated brokerage companies nationwide.",Fred J. Schmidt,201201,0,0,1,0
The Senate should reject a House-approved bill to override states’ limits on hidden loaded guns.,Reckless Disregard for Safety,201201,-0.4019,0.172,0.828,0
John Tortorella wondered aloud about some of the calls at the end of the Winter Classic. And then he wondered some more.,Rangers See Conspiracies in Winter Classic Calls,201201,0,0,1,0
Dainty bottles from Frappuccino drinks were filled with gasoline and used in attacks Sunday near the Queens-Nassau border.,"Small and Light, Starbucks Bottles as Canisters for Bombs",201201,-0.4404,0.146,0.854,0
"A man arrested Tuesday has confessed to attacks in Queens and on Long Island on New Year’s Day, the police said.","Firebomber Picked Targets to Settle Personal Scores, Police Say",201201,-0.7184,0.25,0.75,0
"How much Mark Sanchez improves will be a critical factor to the Jets’ success, but it is almost secondary to how he intends to fix what is clearly a toxic situation.",Sanchez’s Chore: Cleaning Up the Mess,201201,0.7311,0.048,0.726,0.226
Mr. Milano’s backup tenor helped seal the seamless doo-wop sound of hits like “A Teenager in Love” and “Where or When.”,"Fred Milano, an Original Member of Dion and the Belmonts, Dies at 72",201201,0.3612,0,0.889,0.111
A new ad campaign for Jackson Hewitt Tax Service wants to get customers to focus more on refund checks than on the actual filing of their taxes.,Turning Tax Time Into Party Time,201201,0,0,1,0
"The Yankees were not interested in courting starter C. J. Wilson this off-season, but they could be more aggressive next winter, when the free-agent starters should be much more appealing.",Yankees Are Saving Now for a Potential Splash Next Winter,201201,-0.4531,0.124,0.876,0
The $20 billion fund created by BP to pay damages from the 2010 spill in the Gulf of Mexico has halted payments until the judge overseeing the federal court litigation clarifies a recent order.,Louisiana: BP Cleanup Payments on Hold,201201,-0.296,0.161,0.737,0.103
"With quick feet and sharp elbows, Fulham’s Clint Dempsey has set a new standard for American players in Europe.",Dempsey Raises the Bar for U.S. Stars in Europe,201201,0,0,1,0
Governments must fully guarantee all bank deposits — and impose much tighter restrictions on risk-taking by banks.,Bring Back Boring Banks,201201,0.024,0.113,0.77,0.118
"Mr. Hirabayashi, along with Fred Korematsu and Minoru Yasui, symbolized protest against unchecked governmental powers in a time of war.","Gordon Hirabayashi, World War II Internment Opponent, Dies at 93",201201,-0.7096,0.258,0.742,0
A soldier accused of taking explosives into Midland International Airport in his carry-on bag may have flown halfway across the country with them the week before.,Texas: Soldier May Have Taken Explosives on Plane,201201,-0.296,0.084,0.916,0
Lt. Gov. Timothy Murray was driving at more than 100 miles per hour and showed behavior consistent with falling asleep at the wheel when his car flipped over early on Nov. 2.,Massachusetts: Police Say Lieutenant Governor Was Sleeping and Speeding Before Car Crash,201201,-0.1531,0.049,0.951,0
An independent panel says California lawmakers should not authorize $2.7 billion in bonds to build the initial section of the state’s high-speed rail system.,California: Panel Advises Against Rail Project,201201,0,0,1,0
Being accused of quitting on the Jets in their season finale could prove detrimental to Santonio Holmes’s reputation.,There Is an ‘I’ in Quit,201201,-0.296,0.115,0.885,0
"Gov. Andrew M. Cuomo has become architect, historian, interior decorator and custodian to manage the project, which he called a symbol that government can make citizens proud.",A Cuomo Microscope on Capitol Renovation,201201,0.4767,0,0.89,0.11
America’s view of its wars has been blind to one specific aspect of destruction: the human toll of those who live in war zones.,The Forgotten Wages of War,201201,-0.9313,0.41,0.59,0
"In an experiment, two reporters tried the time-versus-toll calculus: one took the New Jersey Turnpike, where tolls went up 53 percent on New Year’s Day, the other took Routes 1 and 1/9, toll free.","Time, or Tolls? Doing the New Math for New Jersey Commuters",201201,0.5106,0,0.907,0.093
"Corrections appearing in print on January 5, 2012.",Corrections: January 5,201201,0,0,1,0
"Mr. Bailey, a reporter and editor at The Minneapolis Tribune, won renown as a co-author of the novel “Seven Days in May,” about an American coup plot.","Charles W. Bailey, Journalist and Political Novelist, Dies at 82",201201,0.7184,0,0.793,0.207
"Bishop Raymond Lahey, who admitted that he was addicted to child pornography ,left a Toronto court a free man on Wednesday after being credited for time served in his 15-month sentence.",Canada: Judge Frees Jailed Bishop,201201,0.7579,0,0.746,0.254
"How the auto industry, automakers and the most popular cars and trucks fared in December.",How the Auto Industry Fared,201201,0.4754,0,0.819,0.181
"Paul Pierce scored 24 points against the Nets, who lost their sixth game in a row and were playing without Deron Williams, Kris Humphries and Brook Lopez.",Depleted Nets No Match Against Celtics,201201,-0.128,0.082,0.854,0.064
A ban on luxury spas at hotels and massage parlors in the Maldives was lifted on Wednesday under pressure from the country’s key tourism industry a week after it was imposed as part of an effort to curb perceived vice.,Maldives: Ban Is Quickly Lifted on Massage Parlors and Spas,201201,-0.7269,0.169,0.831,0
"The National Collegiate Hockey Conference named Jim Scherr, a former chief executive of the United States Olympic Committee, as its first commissioner.",Former Olympic C.E.O. Heads League,201201,0.4215,0,0.877,0.123
"Too little is known about what has become of millions of dollars in ransom money paid to Somali pirates, and too few hostage takers are being prosecuted, British lawmakers said in a report released on Thursday.",Britain: Parliamentary Report Questions Policy on Somali Piracy,201201,-0.3818,0.071,0.929,0
Serena Williams sprained her left ankle while serving for the match and later withdrew from the Brisbane International in Australia.,Serena Williams Sprains Ankle,201201,0,0,1,0
"A battle between rival gangs inside a prison in northern Mexico left at least 31 inmates dead in the latest violence to erupt inside the country’s overcrowded penal institutions, local officials said on Wednesday.",Mexico: At Least 31 Inmates Are Killed in Prison Gang Riot,201201,-0.936,0.338,0.662,0
The blasts are the first instance of significant violence since President Goodluck Jonathan imposed a state of emergency on Saturday.,Nigeria: Bombs Rattle Northeast as General Strike Is Threatened,201201,-0.7351,0.323,0.605,0.073
